instrument_type	expiry	tick_size	name	lot_size	tradingsymbol	instrument_token	strike	exchange	segment	exchange_token	last_price
EQ		0.05	FUTURE CONSUMER	1	FCONSUMER-BE	7690497	0	NSE	NSE	30041	0
EQ		0.05	FILATEX INDIA	1	FILATEX-BE	6281217	0	NSE	NSE	24536	0
EQ		0.05	FINOLEX CABLES-DEP SE	1	FINCABLES-BE	1481473	0	NSE	NSE	5787	0
EQ		0.05	FINOLEX IND DEPO SETT	1	FINPIPE-BE	1379073	0	NSE	NSE	5387	0
EQ		0.05	FINOLEX INDUSTRIES	1	FINPIPE	266497	0	NSE	NSE	1041	0
EQ		0.05	FIRST LEASING CO OF INDIA	1	FIRSTLEASE-BZ	1122305	0	NSE	NSE	4384	0
EQ		0.05	FIRST LEASING COMPANY OF	1	FIRSTLEASE	267265	0	NSE	NSE	1044	0
EQ		0.05	FOSECO INDIA	1	FOSECOIND	274689	0	NSE	NSE	1073	0
EQ		0.05	FUTURE RETAIL	1	FRETAIL-BE	4705793	0	NSE	NSE	18382	0
EQ		0.01	SEC RED NCD 10.00% SR. VI	1	SREINFRA-Y1	4793089	0	NSE	NSE	18723	0
EQ		0.05	SREE RAYALSEEMA HHP	1	SRHHYPOLTD	3732993	0	NSE	NSE	14582	0
EQ		0.05	TEXTOOLCOMPANY-ROLL SETT	1	TEXTOOL-BE	2164737	0	NSE	NSE	8456	0
EQ		0.05	TITAGARH INDS	1	TITAGRSTEL-BE	1771009	0	NSE	NSE	6918	0
EQ		0.05	FROG CELLSAT	1	FROGCELL-IT	720385	0	NSE	NSE	2814	0
EQ		0.05	GARWARE-WALL ROPES	1	GARWALLROP-BE	1507329	0	NSE	NSE	5888	0
EQ		0.05	GARWARE-WALL ROPES	1	GARWALLROP	281601	0	NSE	NSE	1100	0
EQ		0.05	GITANJALI GEMS	1	GITANJALI-BE	3396865	0	NSE	NSE	13269	0
EQ		0.05	SITI NETWORKS	1	SITINET	3583489	0	NSE	NSE	13998	0
EQ		0.05	SKIPPER	1	SKIPPER-BE	2417153	0	NSE	NSE	9442	0
EQ		0.05	SOBHA	1	SOBHA-BE	3540481	0	NSE	NSE	13830	0
EQ		0.05	SOBHA	1	SOBHA	3539457	0	NSE	NSE	13826	0
EQ		0.05	VANAVIL DYES AND CHEMICAL	1	VANADYCHEM	931841	0	NSE	NSE	3640	0
EQ		0.05	GODAWARI POW & ISP	1	GPIL-BL	3433729	0	NSE	NSE	13413	0
EQ		0.05	GUJARAT PIPAVAV PORT	1	GPPL	5051137	0	NSE	NSE	19731	0
EQ		0.05	TATA ELXSI	1	TATAELXSI-BL	3279873	0	NSE	NSE	12812	0
EQ		0.05	WELSPUN INDIA	1	WELSPUNIND-BL	3300097	0	NSE	NSE	12891	0
EQ		0.05	HINDUJA GLOBAL SOLS.	1	HGS-BL	3767297	0	NSE	NSE	14716	0
EQ		0.05	HINDUJA GLOBAL SOLS.	1	HGS	3766273	0	NSE	NSE	14712	0
EQ		0.05	HILTON METAL FORGING	1	HILTON-BL	3745025	0	NSE	NSE	14629	0
EQ		0.05	MMTC	1	MMTC-BL	4597761	0	NSE	NSE	17960	0
EQ		0.05	ZFSTEERINGGEAR-ROLL SETT	1	ZFSTEERING-BE	2285569	0	NSE	NSE	8928	0
EQ		0.05	HIND RECTIFIER	1	HIRECT-BE	3556865	0	NSE	NSE	13894	0
EQ		0.05	HISAR METAL IND.	1	HISARMETAL	4946433	0	NSE	NSE	19322	0
EQ		0.05	HINDUSTAN MEDIA VENT	1	HMVL-BE	4919041	0	NSE	NSE	19215	0
EQ		0.05	TNPL - DEPO RS	1	TNPL-BE	1318401	0	NSE	NSE	5150	0
EQ		0.01	7.69% TAX FREETRII SR2B	1	HUDCO-N9	5102081	0	NSE	NSE	19930	0
EQ		0.01	8.76% TAX FREETRI SR2B	1	HUDCO-ND	5111809	0	NSE	NSE	19968	0
EQ		0.01	9.01% TAX FREETRII SR3B	1	HUDCO-NE	5112321	0	NSE	NSE	19970	0
EQ		0.01	SEC RED NCD SR. VII	1	IBULHSGFIN-NB	4769281	0	NSE	NSE	18630	0
EQ		0.01	ICICI0101-PB-165-5T-2023	1	ICICI0101-NC	2489089	0	NSE	NSE	9723	0
EQ		0.01	CGB2-5T-2023	1	ICICI0102-NB	2716417	0	NSE	NSE	10611	0
EQ		0.05	UNITED POLYFAB GUJ.	1	UNITEDPOLY-SM	4406529	0	NSE	NSE	17213	0
EQ		0.05	USHA (INDIA)	1	USHAINDIA	928001	0	NSE	NSE	3625	0
EQ		0.05	ICRA	1	ICRA-BE	3718913	0	NSE	NSE	14527	0
EQ		0.05	ICRA	1	ICRA	3717889	0	NSE	NSE	14523	0
EQ		0.05	IDFC BANK	1	IDFCBANK-BL	2863873	0	NSE	NSE	11187	0
EQ		0.01	11.52% SEC REDE NCD OPT I	1	IIHFL-N1	8157953	0	NSE	NSE	31867	0
EQ		0.05	SBI HOME FINANCE	1	SBIHOMEFIN	775681	0	NSE	NSE	3030	0
EQ		0.05	VIKAS ECOTECH	1	VIKASECO-BL	6594305	0	NSE	NSE	25759	0
EQ		0.05	VIP CLOTHING	1	VIPCLOTHNG-BE	3800833	0	NSE	NSE	14847	0
EQ		0.01	BOND 9.45% PA NON RET. S4	1	SBIN-N6	5723137	0	NSE	NSE	22356	0
EQ		0.05	IOL CHEM AND PHARMA	1	IOLCP	5225729	0	NSE	NSE	20413	0
EQ		0.05	INTERNATIONALPAPERAPPMLTD	1	IPAPPM	42497	0	NSE	NSE	166	0
EQ		0.01	IRB INVIT FUND	1	IRBINVIT-BL	5330177	0	NSE	NSE	20821	0
EQ		0.01	BOND 8.40% PA TF TI-SIIA	1	IRFC-N8	151297	0	NSE	NSE	591	0
EQ		0.05	JVL AGRO INDUSTRIES	1	JVLAGRO	6204673	0	NSE	NSE	24237	0
EQ		0.05	KERNEX MICROSYS(I)	1	KERNEX-BL	3359489	0	NSE	NSE	13123	0
EQ		0.05	KESAR ENTERPRISES	1	KESARENT	3570177	0	NSE	NSE	13946	0
EQ		0.05	KIRLOSKAR OIL ENG	1	KIRLOSENG-BE	5360641	0	NSE	NSE	20940	0
EQ		0.05	PENNAR ALUMINIUM CO	1	PENNARALUM	672001	0	NSE	NSE	2625	0
EQ		0.05	PERSISTENT SYSTEMS	1	PERSISTENT-BE	4702465	0	NSE	NSE	18369	0
EQ		0.05	PNC INFRATECH	1	PNCINFRA-BE	2404865	0	NSE	NSE	9394	0
EQ		0.05	KRIDHAN INFRA	1	KRIDHANINF-BE	2940929	0	NSE	NSE	11488	0
EQ		0.05	LGB FORGE	1	LGBFORGE-BE	4313345	0	NSE	NSE	16849	0
EQ		0.05	LGB FORGE	1	LGBFORGE-BL	4313089	0	NSE	NSE	16848	0
EQ		0.01	LICNAMC - LICNFENGP	1	LICNETFN50-BL	2897921	0	NSE	NSE	11320	0
EQ		0.01	LICNAMC - LICNFENGP	1	LICNETFN50	2897665	0	NSE	NSE	11319	0
EQ		0.01	LICNAMC - LICNFESGP	1	LICNETFSEN-BL	2929665	0	NSE	NSE	11444	0
EQ		0.05	N R AGARWAL INDS	1	NRAIL-BL	5201153	0	NSE	NSE	20317	0
EQ		0.05	SIMBHAOLI SUGARS	1	SIMBHALS-BL	3741441	0	NSE	NSE	14615	0
EQ		0.05	TATA GLOBAL BEVERAGES	1	TATAGLOBAL-BL	3282177	0	NSE	NSE	12821	0
EQ		0.05	LYPSA GEMS & JEWEL	1	LYPSAGEMS-BL	8056577	0	NSE	NSE	31471	0
EQ		0.05	M&M FIN. SERVICES	1	M&MFIN	3400961	0	NSE	NSE	13285	0
EQ		0.01	9.00% UNSECURED NCD	1	M&MFIN-N2	5132289	0	NSE	NSE	20048	0
EQ		0.05	MADHAV MARBLE & GRANITE	1	MADHAV-BE	3879681	0	NSE	NSE	15155	0
EQ		0.05	MADHAV MARBLE & GRANITE	1	MADHAV	3878657	0	NSE	NSE	15151	0
EQ		0.05	MADHUCON PROJECTS	1	MADHUCON-BL	3499265	0	NSE	NSE	13669	0
EQ		0.05	MADHUCON PROJECTS	1	MADHUCON	3499777	0	NSE	NSE	13671	0
EQ		0.05	MADRAS ALUMINIUM CO.	1	MADRASALMN	522241	0	NSE	NSE	2040	0
EQ		0.05	UTTAM VALUE STEELS	1	UVSL	4475905	0	NSE	NSE	17484	0
EQ		0.05	VICEROY HOTELS	1	VICEROY	3815169	0	NSE	NSE	14903	0
EQ		0.05	MANGALAM CEMENT	1	MANGLMCEM	539137	0	NSE	NSE	2106	0
EQ		0.05	MANGALAM TIMBER PRODUCTS	1	MANGTIMBER-BL	3220993	0	NSE	NSE	12582	0
EQ		0.05	MANGALAM TIMBER PRODUCTS	1	MANGTIMBER	539905	0	NSE	NSE	2109	0
EQ		0.05	RAMKY INFRA	1	RAMKY	5154305	0	NSE	NSE	20134	0
EQ		0.05	PTC INDIA FIN SERV	1	PFS	5786113	0	NSE	NSE	22602	0
EQ		0.05	POKARNA	1	POKARNA-BL	4519425	0	NSE	NSE	17654	0
EQ		0.05	PRABHAT DAIRY	1	PRABHAT	2726401	0	NSE	NSE	10650	0
EQ		0.05	MERCK	1	MERCK-BE	1402369	0	NSE	NSE	5478	0
EQ		0.05	MERCK	1	MERCK	240641	0	NSE	NSE	940	0
EQ		0.05	METKORE ALLOYS & IND	1	METKORE	4291329	0	NSE	NSE	16763	0
EQ		0.05	MAHANAGAR GAS	1	MGL-BE	4489729	0	NSE	NSE	17538	0
EQ		0.05	MIRZA INTERNATIONAL LIMIT	1	MIRZAINT-BE	1706241	0	NSE	NSE	6665	0
EQ		0.05	BODAL CHEMICALS	1	BODALCHEM-BE	6405377	0	NSE	NSE	25021	0
EQ		0.05	MPHASIS	1	MPHASIS	1152769	0	NSE	NSE	4503	0
EQ		0.05	MUKAND	1	MUKANDLTD-BL	3228673	0	NSE	NSE	12612	0
EQ		0.05	MUKAND	1	MUKANDLTD	2899201	0	NSE	NSE	11325	0
EQ		0.05	MUNJAL AUTO IND.	1	MUNJALAU-BE	3459073	0	NSE	NSE	13512	0
EQ		0.05	MUNJAL AUTO IND.	1	MUNJALAU-BL	3459585	0	NSE	NSE	13514	0
EQ		0.05	MUNJAL SHOWA	1	MUNJALSHOW	590593	0	NSE	NSE	2307	0
EQ		0.05	MUTHOOT CAP SERV	1	MUTHOOTCAP-BL	2667009	0	NSE	NSE	10418	0
EQ		0.05	MUTHOOT CAP SERV	1	MUTHOOTCAP	2666241	0	NSE	NSE	10415	0
EQ		0.01	NCD  SEC OPT5	1	MUTHOOTFIN-NB	7432961	0	NSE	NSE	29035	0
EQ		0.05	NAGREEKA CAP & INFR.LTD	1	NAGREEKCAP	3825153	0	NSE	NSE	14942	0
EQ		0.05	NAGREEKA EXPORTS	1	NAGREEKEXP-BL	3764737	0	NSE	NSE	14706	0
EQ		0.05	GVK POW. & INFRA	1	GVKPIL	3385857	0	NSE	NSE	13226	0
EQ		0.05	HARITA SEATING SYS.	1	HARITASEAT-BE	4366337	0	NSE	NSE	17056	0
EQ		0.05	NAGREEKA EXPORTS	1	NAGREEKEXP	3763713	0	NSE	NSE	14702	0
EQ		0.05	NAHAR INDS ENT	1	NAHARINDUS	3355137	0	NSE	NSE	13106	0
EQ		0.05	NAMTECH ELETRONIC DEVICES	1	NAMTECHELE	1122561	0	NSE	NSE	4385	0
EQ		0.05	NAVKAR CORPORATION	1	NAVKARCORP-BE	2703617	0	NSE	NSE	10561	0
EQ		0.05	NEULAND LAB	1	NEULANDLAB	615937	0	NSE	NSE	2406	0
EQ		0.05	SHANTHI GEARS	1	SHANTIGEAR-BL	3263233	0	NSE	NSE	12747	0
EQ		0.05	NETVISTA INFO TECH - DEPO	1	NETVISTAIT-BE	1784065	0	NSE	NSE	6969	0
EQ		0.05	NIRLON	1	NIRLON	622849	0	NSE	NSE	2433	0
EQ		0.05	SHRIYAM SECURITIES	1	SHRIYAMSEC	802561	0	NSE	NSE	3135	0
EQ		0.05	SITI NETWORKS	1	SITINET-BL	3584513	0	NSE	NSE	14002	0
EQ		0.01	8.92% SEC RED BOND S3B	1	NHPC-N6	8060673	0	NSE	NSE	31487	0
EQ		0.05	NICCO CORP	1	NICCO	3535617	0	NSE	NSE	13811	0
EQ		0.05	NLC INDIA	1	NLCINDIA	2197761	0	NSE	NSE	8585	0
EQ		0.05	NEUEON TOWERS	1	NTL-BL	7821569	0	NSE	NSE	30553	0
EQ		0.05	NMDC	1	NMDC-BL	3925761	0	NSE	NSE	15335	0
EQ		0.05	NOCIL	1	NOCIL-BL	3234817	0	NSE	NSE	12636	0
EQ		0.05	NALWA SONS INVESTMENT	1	NSIL-BE	3064065	0	NSE	NSE	11969	0
EQ		0.05	ORIENTAL CARBN & CHEM	1	OCCL-BE	3137537	0	NSE	NSE	12256	0
EQ		0.05	OIL INDIA	1	OIL-BL	4464897	0	NSE	NSE	17441	0
EQ		0.05	OIL COUNTRY TUBULAR	1	OILCOUNTUB-BE	2075905	0	NSE	NSE	8109	0
EQ		0.05	OMAX AUTOS	1	OMAXAUTO-BE	3616001	0	NSE	NSE	14125	0
EQ		0.05	OMAX AUTOS	1	OMAXAUTO-BL	3237121	0	NSE	NSE	12645	0
EQ		0.05	OMAX AUTOS	1	OMAXAUTO	2796033	0	NSE	NSE	10922	0
EQ		0.05	OMAXE	1	OMAXE-BE	3803393	0	NSE	NSE	14857	0
EQ		0.05	OMKAR SPL CHEM	1	OMKARCHEM-BL	5507585	0	NSE	NSE	21514	0
EQ		0.05	ORICON ENTERPRISES	1	ORICONENT	2600705	0	NSE	NSE	10159	0
EQ		0.05	PAE	1	PAEL-BE	1683201	0	NSE	NSE	6575	0
EQ		0.05	PANACEA BIOTEC	1	PANACEABIO-BE	2234369	0	NSE	NSE	8728	0
EQ		0.05	PANAMA PETROCHEM	1	PANAMAPET	6500353	0	NSE	NSE	25392	0
EQ		0.05	PAREKH ALUM.	1	PARAL-BE	3525121	0	NSE	NSE	13770	0
EQ		0.05	PEARL POLYMERS	1	PEARLPOLY-BE	2096129	0	NSE	NSE	8188	0
EQ		0.05	PENNAR INDSLTD-DEPO	1	PENARSTEEL-BE	1923585	0	NSE	NSE	7514	0
EQ		0.05	PENNAR INDUSTRIES	1	PENARSTEEL	671233	0	NSE	NSE	2622	0
EQ		0.05	THE STATE TRADING CORPN	1	STCINDIA	2802689	0	NSE	NSE	10948	0
EQ		0.05	PETRON ENGG CONSTRUCT	1	PETRONENGG-BL	3243009	0	NSE	NSE	12668	0
EQ		0.05	PG ELECTROPLAST	1	PGEL-BL	6492417	0	NSE	NSE	25361	0
EQ		0.05	PG ELECTROPLAST	1	PGEL	6491649	0	NSE	NSE	25358	0
EQ		0.05	PIONEER EMBROIDERIES	1	PIONEEREMB	3446529	0	NSE	NSE	13463	0
EQ		0.05	PNB GILTS	1	PNBGILTS-BE	2237953	0	NSE	NSE	8742	0
EQ		0.05	PRITISH NANDY COMMUNICATI	1	PNC-BL	3245313	0	NSE	NSE	12677	0
EQ		0.05	POCHIRAJU IND	1	POCHIRAJU-BL	3639041	0	NSE	NSE	14215	0
EQ		0.05	PRECOT MERIDIAN	1	PRECOT	694017	0	NSE	NSE	2711	0
EQ		0.05	PRECISION WIRES INDIA	1	PRECWIRE-BL	3246849	0	NSE	NSE	12683	0
EQ		0.05	PREMIER	1	PREMIER-BE	1599489	0	NSE	NSE	6248	0
EQ		0.05	PRITHVI INFO. SOLN.	1	PRITHVI-BL	3340545	0	NSE	NSE	13049	0
EQ		0.05	PRITHVI INFO. SOLN.	1	PRITHVI	3081729	0	NSE	NSE	12038	0
EQ		0.05	PRICOL	1	PRICOLLTD-BE	5026561	0	NSE	NSE	19635	0
EQ		0.05	PSP PROJECTS	1	PSPPROJECT	5344513	0	NSE	NSE	20877	0
EQ		0.01	RELIANCE ETF PSU BANKBEES	1	PSUBNKBEES	3848193	0	NSE	NSE	15032	0
EQ		0.05	PTC INDIA	1	PTC	2906881	0	NSE	NSE	11355	0
EQ		0.05	PTL ENTERPRISES	1	PTL-BL	3610625	0	NSE	NSE	14104	0
EQ		0.05	PUNJ LLOYD	1	PUNJLLOYD	3364353	0	NSE	NSE	13142	0
EQ		0.05	RELIANCE COMMUNICATIONS L	1	RCOM	3375873	0	NSE	NSE	13187	0
EQ		0.05	RANE HOLDINGS	1	RANEHOLDIN	728065	0	NSE	NSE	2844	0
EQ		0.01	BOND 8.01% TAX FREE S1A	1	RECLTD-N5	7931393	0	NSE	NSE	30982	0
EQ		0.01	BOND 8.46% TAX FREE S2A	1	RECLTD-N6	7931905	0	NSE	NSE	30984	0
EQ		0.01	BOND 8.71% TAX FREE S2B	1	RECLTD-N9	7933441	0	NSE	NSE	30990	0
EQ		0.01	NCD SEC S5CAT I/II/III	1	RELIFIN-N7	7420673	0	NSE	NSE	28987	0
EQ		0.05	RELIANCE INFRASTRUCTU	1	RELINFRA-BE	1226497	0	NSE	NSE	4791	0
EQ		0.05	RENAISSANCE JEWEL.	1	RJL-BL	3873537	0	NSE	NSE	15131	0
EQ		0.05	RELIANCE POWER	1	RPOWER-BE	3906817	0	NSE	NSE	15261	0
EQ		0.05	R. S. SOFTWARE (INDIA) LI	1	RSSOFTWARE	1645825	0	NSE	NSE	6429	0
EQ		0.05	THE RUBY MILLS	1	RUBYMILLS-BL	3256833	0	NSE	NSE	12722	0
EQ		0.05	SRI ADHIKARI BROS.	1	SABTN-BE	3855361	0	NSE	NSE	15060	0
EQ		0.05	SADBHAV ENGINEERING	1	SADBHAV-BL	3388929	0	NSE	NSE	13238	0
EQ		0.05	TRIB BHIMJI ZAVERI	1	TBZ	6921473	0	NSE	NSE	27037	0
EQ		0.05	SADBHAV INFRA PROJ	1	SADBHIN-BE	2719233	0	NSE	NSE	10622	0
EQ		0.05	SAKTHI FINANCE	1	SAKTHIFIN-BE	4975617	0	NSE	NSE	19436	0
EQ		0.05	SARASWATI INDL SYNDICATE	1	SARASIND-BE	2472961	0	NSE	NSE	9660	0
EQ		0.05	SARDA ENERGY & MIN	1	SARDAEN-BL	4546817	0	NSE	NSE	17761	0
EQ		0.05	SAREGAMA INDIA	1	SAREGAMA-BL	3260161	0	NSE	NSE	12735	0
EQ		0.05	SASKEN TECHNOLOGIES	1	SASKEN-BL	3260417	0	NSE	NSE	12736	0
EQ		0.01	SBI-ETF NIFTY 50	1	SETFNIF50	2605057	0	NSE	NSE	10176	0
EQ		0.05	SHREE GANESH FORG.	1	SGFL-BL	3744001	0	NSE	NSE	14625	0
EQ		0.05	SHRI SHAKTI LPG	1	SHAKTIGAS	1908993	0	NSE	NSE	7457	0
EQ		0.05	SHRIRAM PIST. & RING	1	SHRIPISTON-BL	4400385	0	NSE	NSE	17189	0
EQ		0.05	SJVN	1	SJVN	4834049	0	NSE	NSE	18883	0
EQ		0.05	SNOWMAN LOGISTICS	1	SNOWMAN-BE	1241601	0	NSE	NSE	4850	0
EQ		0.05	SPENTEX IND.	1	SPENTEX-BE	3544577	0	NSE	NSE	13846	0
EQ		0.01	SRNCD SR IV B	1	SREIBNPNCD-NH	4993025	0	NSE	NSE	19504	0
EQ		0.01	0% PA SN SVI C-III	1	SREINFRA-NU	902913	0	NSE	NSE	3527	0
EQ		0.05	STAMPEDE CAPITAL	1	STAMPEDE	4579329	0	NSE	NSE	17888	0
EQ		0.05	UCAL FUEL SYSTEMS	1	UCALFUEL-BL	3290113	0	NSE	NSE	12852	0
EQ		0.05	SURYALAKSHMI COT MIL	1	SURYALAXMI	3034113	0	NSE	NSE	11852	0
EQ		0.05	SURYA ROSHNI	1	SURYAROSNI	864001	0	NSE	NSE	3375	0
EQ		0.05	SUTLEJ TEXT & INDUS	1	SUTLEJTEX-BL	3534081	0	NSE	NSE	13805	0
EQ		0.05	REFEX INDUSTRIES	1	REFEX-BE	4548609	0	NSE	NSE	17768	0
EQ		0.05	SYNGENE INTERNATIONAL	1	SYNGENE	2622209	0	NSE	NSE	10243	0
EQ		0.05	TANFAC IND	1	TANFACIND	4656641	0	NSE	NSE	18190	0
EQ		0.05	TATA STEEL	1	TATASTEEL-BL	3281921	0	NSE	NSE	12820	0
EQ		0.01	NCD 9.75% PA OPT I	1	TCFSL-N6	419073	0	NSE	NSE	1637	0
EQ		0.05	MAHINDRA LIFESPACE DEVLTD	1	MAHLIFE	2060801	0	NSE	NSE	8050	0
EQ		0.05	MAJESTIC AUTO	1	MAJESAUTO	536065	0	NSE	NSE	2094	0
EQ		0.05	TATA CHEMICALS	1	TATACHEM-BL	3279617	0	NSE	NSE	12811	0
EQ		0.05	TATA COFFEE	1	TATACOFFEE	185345	0	NSE	NSE	724	0
EQ		0.05	TRANSPORT CORPN OF INDIA	1	TCI	2708481	0	NSE	NSE	10580	0
EQ		0.05	TEXMACO RAIL & ENG.	1	TEXRAIL-BL	5588737	0	NSE	NSE	21831	0
EQ		0.05	THOMAS SCOTT (INDIA)	1	THOMASCOTT	7940353	0	NSE	NSE	31017	0
EQ		0.05	TIJARIA POLYPIPES	1	TIJARIA	6523393	0	NSE	NSE	25482	0
EQ		0.05	TIMBOR HOME	1	TIMBOR-BL	6225665	0	NSE	NSE	24319	0
EQ		0.05	TIMES GUARANTY	1	TIMESGTY	2743553	0	NSE	NSE	10717	0
EQ		0.05	MAHINDRA HOLIDAYS	1	MHRIL-BE	4438273	0	NSE	NSE	17337	0
EQ		0.05	TAMILNADU PETROPRODUCTS L	1	TNPETRO	898305	0	NSE	NSE	3509	0
EQ		0.05	TAMILNADU TELECOMMUNICATI	1	TNTELE-BE	2530305	0	NSE	NSE	9884	0
EQ		0.05	TORRENT GUJARAT BIOTECH L	1	TORRENGUJ	901377	0	NSE	NSE	3521	0
EQ		0.05	TRENT	1	TRENT-BL	3287809	0	NSE	NSE	12843	0
EQ		0.05	NOIDA TOLL BRIDGE CO	1	NOIDATOLL	2761217	0	NSE	NSE	10786	0
EQ		0.05	PAREKH ALUM.	1	PARAL	3524097	0	NSE	NSE	13766	0
EQ		0.01	SEC RED NCD SR VII	1	SREINFRA-NK	86273	0	NSE	NSE	337	0
EQ		0.01	SEC RED NCD 9.75% SR. III	1	SREINFRA-NX	4791553	0	NSE	NSE	18717	0
EQ		0.05	URJA GLOBAL	1	URJA-BL	5172737	0	NSE	NSE	20206	0
EQ		0.05	SANDVIK ASIA	1	SANDVIKAS-BE	2019841	0	NSE	NSE	7890	0
EQ		0.05	SANWARIA CONSUMER	1	SANWARIA	3410433	0	NSE	NSE	13322	0
EQ		0.05	SEAMEC	1	SEAMECLTD-BL	3262209	0	NSE	NSE	12743	0
EQ		0.05	SEQUENT SCIENTIFIC	1	SEQUENT-BE	3672321	0	NSE	NSE	14345	0
EQ		0.05	STL GLOBAL	1	SGL-BL	3422977	0	NSE	NSE	13371	0
EQ		0.05	SHAIVAL REALITY	1	SHAIVAL-SM	2734849	0	NSE	NSE	10683	0
EQ		0.05	SHIVAM AUTO.LTD	1	SHIVAMAUTO-BE	3521793	0	NSE	NSE	13757	0
EQ		0.05	SIEL	1	SIEL-BE	2132481	0	NSE	NSE	8330	0
EQ		0.05	SIEMENS	1	SIEMENS-BL	3266561	0	NSE	NSE	12760	0
EQ		0.05	SUPREME (INDIA) IMPEX	1	SIIL-SM	1934081	0	NSE	NSE	7555	0
EQ		0.05	SORIL HOLDINGS AND VENT L	1	SORILHOLD-BL	6400513	0	NSE	NSE	25002	0
EQ		0.05	SPIC	1	SPIC-BL	3269889	0	NSE	NSE	12773	0
EQ		0.05	SHOPPERS STOP	1	SHOPERSTOP-BL	3264257	0	NSE	NSE	12751	0
EQ		0.05	SORIL HOLDINGS AND VENT L	1	SORILHOLD	6399745	0	NSE	NSE	24999	0
EQ		0.05	STI INDIA	1	STINDIA	848641	0	NSE	NSE	3315	0
EQ		0.05	SUNTECK REALTY	1	SUNTECK-BL	4516865	0	NSE	NSE	17644	0
EQ		0.05	TATACHEM- DEP. RS	1	TATACHEM-BE	1276929	0	NSE	NSE	4988	0
EQ		0.05	TATA POWER CO	1	TATAPOWER-BL	3281409	0	NSE	NSE	12818	0
EQ		0.05	TARMAT	1	TARMAT	3781377	0	NSE	NSE	14771	0
EQ		0.05	TD POWER SYSTEMS	1	TDPOWERSYS	6445569	0	NSE	NSE	25178	0
EQ		0.05	TEAMLEASE SERVICES	1	TEAMLEASE	3255297	0	NSE	NSE	12716	0
EQ		0.05	IDFC	1	IDFC	3060993	0	NSE	NSE	11957	0
EQ		0.05	TOURISM FINANCE CORP. OF	1	TFCILTD	887297	0	NSE	NSE	3466	0
EQ		0.05	THANGAMAYIL JEWELLERY	1	THANGAMAYL-BE	4639233	0	NSE	NSE	18122	0
EQ		0.05	SHYAM TELECOM	1	SHYAMTEL-BL	3518465	0	NSE	NSE	13744	0
EQ		0.05	SICAGEN INDIA	1	SICAGEN-BL	4320769	0	NSE	NSE	16878	0
EQ		0.05	VARUN INDUS.	1	VARUN	3859969	0	NSE	NSE	15078	0
EQ		0.05	V-GUARD IND	1	VGUARD-BL	3933441	0	NSE	NSE	15365	0
EQ		0.05	WONDERLA HOLIDAYS	1	WONDERLA-BL	770817	0	NSE	NSE	3011	0
EQ		0.05	VIPUL	1	VIPULLTD	2156545	0	NSE	NSE	8424	0
EQ		0.05	WOCKHARDT-DEPO	1	WOCKPHARMA-BE	1919233	0	NSE	NSE	7497	0
EQ		0.05	WEST COAST PAPER MILLS LT	1	WSTCSTPAPR	972545	0	NSE	NSE	3799	0
EQ		0.05	ZYLOG SYSTEMS	1	ZYLOG-BE	3810049	0	NSE	NSE	14883	0
EQ		0.05	S KUMARS NATIONWIDE	1	SKUMARSYNF-BL	3110145	0	NSE	NSE	12149	0
EQ		0.05	PRAJAY ENG. SYN.	1	PRAENG	3568897	0	NSE	NSE	13941	0
EQ		0.05	PROVOGUE (INDIA)	1	PROVOGE-BL	8006913	0	NSE	NSE	31277	0
EQ		0.05	SPENTEX IND.	1	SPENTEX-BL	3544833	0	NSE	NSE	13847	0
EQ		0.05	SPHERE GLOBAL SERVICE	1	SPHEREGSL-BL	3083521	0	NSE	NSE	12045	0
EQ		0.05	MAGMA FINCORP	1	MAGMA	2919169	0	NSE	NSE	11403	0
EQ		0.01	QUANTUM NIFTY ETF	1	QNIFTY	4305665	0	NSE	NSE	16819	0
EQ		0.01	10.25% SRNCD SR IX	1	SREIBNPNCD-N9	2330113	0	NSE	NSE	9102	0
EQ		0.05	MASK INVESTMENTS	1	MASKINVEST-BL	4794881	0	NSE	NSE	18730	0
EQ		0.05	STEL HOLDINGS	1	STEL-BE	5500929	0	NSE	NSE	21488	0
EQ		0.05	SUN PHARMACEUTICAL IND L	1	SUNPHARMA	857857	0	NSE	NSE	3351	0
EQ		0.05	MAHANAGAR TELEPHONE NIGAM	1	MTNL-BL	3228417	0	NSE	NSE	12611	0
EQ		0.05	NAVKAR CORPORATION	1	NAVKARCORP	2702593	0	NSE	NSE	10557	0
EQ		0.05	SUPERHOUSE	1	SUPERHOUSE-BE	5278721	0	NSE	NSE	20620	0
EQ		0.05	PG ELECTROPLAST	1	PGEL-BE	6492673	0	NSE	NSE	25362	0
EQ		0.05	PLETHICO PHARMACE	1	PLETHICO	3438337	0	NSE	NSE	13431	0
EQ		0.05	PRADIP OVERSEAS	1	PRADIP-BL	4700161	0	NSE	NSE	18360	0
EQ		0.05	PRAKASH CONSTROWELL	1	PRAKASHCON-BL	6506753	0	NSE	NSE	25417	0
EQ		0.05	SRF	1	SRF	837889	0	NSE	NSE	3273	0
EQ		0.05	THE STATE TRADING CORPN	1	STCINDIA-BE	3616769	0	NSE	NSE	14128	0
EQ		0.05	SUMEET IND	1	SUMEETINDS-BE	5323265	0	NSE	NSE	20794	0
EQ		0.05	PVR	1	PVR-BL	3366145	0	NSE	NSE	13149	0
